row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm,kmeans_shift_original,kmeans_n_original,fhmm_n,kmeans_n_matched
4,25,18.62937883736684,[2.57020000e-04 6.28390000e-04 3.71370000e-04],357.68976306915283,[0.00020681 0.00060788 0.0001157 ],[  120.19463296 19096.15916148   479.33837321],[  297.36582391 27048.50715033   340.48076823],3,17866.58273434639,"[0.00218855 0.00191721 0.00037137 0.00255992 0.00062839 0.00025702
 0.00281694 0.00089973]",8,3,3
4,26,17.340203702536602,[6.77217000e-03],39.729533433914185,[0.00677217],[98195.00006002],[901.49996999],1,539.5611793994904,[0.00677217],1,1,1
4,27,4.913836017487429,[3.99080000e-04 3.28748000e-03 2.67740000e-04],321.2319655418396,[0.00105697 0.00151855 0.00089987],[1.13020626e+18 1.31011817e+10 3.78685293e+23],[10647.62693962 10647.0351751  10648.26114508],3,3353.150035619736,"[0.00328748 0.00013134 0.00012059 0.00025193 0.00014715 0.00026774
 0.00039908]",7,3,3
4,28,26.055538250522844,[1.88170000e-04 2.59830000e-04 1.24540000e-04],364.64211201667786,[0.00016929 0.00027737 0.00010776],[116.81711896 226.50103215  96.88670314],[213.87607429 529.65428609  96.3929274 ],3,17861.761085510254,"[0.00012454 0.00025983 0.00013682 0.00039665 0.00044954 0.000325
 0.00018817 0.00058482]",8,3,3
4,29,19.793615343619894,[1.43895000e-03 1.03039000e-03],127.2880048751831,[0.00149952 0.00102346],[ 91.59344011 344.15026137],[1283.78046023  387.11968616],2,2222.288057088852,[0.00103039 0.00685466 0.00143895 0.00582427 0.00246934 0.00438532],6,2,2
4,30,33.04369251348367,[1.71050000e-04],51.570547342300415,[0.00014062],[85.93274884],[72.11034117],1,1099.9295709133148,[0.00017105],1,1,1
4,31,29.2181601247318,[2.10511560e-04 1.46885820e-04 4.89942790e-04 1.24013520e-04 3.64004810e-04 5.75632500e-04],259.3781538009644,[0.00021442 0.00013686 0.00050257 0.00012001 0.00035022 0.00063592],"[3349.47590085  127.69781018 5022.82620556   31.19719874 5444.40936243
    7.41978924]","[ 3048.18674692   119.55681883  8400.86766562    50.26570674
  5612.46070415 16315.2770791 ]",6,584437.5990827084,"[5.8351918e-05 9.4542178e-05 1.2401352e-04 8.0959100e-05 1.4688582e-04
 1.5628885e-04 2.8160095e-04 1.6864367e-05 2.9586361e-05 3.8784527e-04
 2.5274503e-04 1.3861843e-05 6.5325730e-05 1.9750670e-04 3.0167482e-04
 2.1051156e-04 1.6567834e-04 3.2008102e-04 1.8659641e-05 3.6400481e-04
 4.7378545e-04 7.3982719e-03 4.8994279e-04 2.1415402e-05 2.2844726e-05
 2.4261923e-05 4.4982495e-05 4.1056854e-05 5.2828647e-05 4.1145587e-04
 8.6979817e-05 3.4151166e-05 7.5208016e-05 1.0377474e-04 2.3255293e-04
 3.2381233e-04 4.3769114e-04 5.1581510e-04 7.5398013e-04 5.7563250e-04]",40,6,6
4,32,20.630241640562247,[1.35900000e-04 2.04184000e-03 4.57400000e-04],365.143899679184,[0.00012013 0.0020833  0.00043626],[616.81141028   7.97631904  80.21924768],[503.28428768 901.09640846 800.82329093],3,12913.42645597458,"[0.0001359  0.00027459 0.00231644 0.0005961  0.00172033 0.00032151
 0.0004574  0.00217774 0.00204184]",9,3,3
5,1,30.00060617625918,[1.61230000e-04 1.46980000e-04],137.8954610824585,[0.00020719 0.00012251],[960.23423458  93.34401713],[178.77561797  93.02733102],2,2947.048994541168,[0.00016123 0.00030822 0.00014698],3,2,2
5,2,28.010694448717267,[1.37690000e-04 3.95256000e-03],140.03199100494385,[0.00013621 0.00388305],[158.75632139  45.5       ],[  165.41774007 49953.5       ],2,3190.6185410022736,[0.00027855 0.00013769 0.00395256],3,2,2
5,3,30.5754305084934,[2.18680000e-04 2.39050000e-04],132.16685891151428,[0.00013604 0.00026599],[131.78043352 255.99937593],[ 95.562191   736.48220081],2,2659.706891775131,[0.00021868 0.00045773 0.00023905],3,2,2
5,4,18.713549152323143,[1.58046000e-03],39.77424597740173,[0.00157974],[906.29876693],[23621.42911474],1,1067.672191619873,[0.00158046],1,1,1
5,5,21.772411009287307,[1.57790000e-04 1.73310000e-04],145.9215385913849,[0.00010034 0.00014623],[ 52.11292124 151.95520722],[ 61.87975651 190.78189193],2,5217.731170654297,[0.00015779 0.00017331 0.0003311 ],3,2,2
5,6,11.674073273213324,[2.40860000e-04 1.83610000e-04],140.13386011123657,[0.00031    0.00013055],[564.60656065 133.84770004],[1230.82047992  146.61725687],2,3051.5987405776978,[0.00018361 0.00024086 0.00042447],3,2,2
5,7,17.661258154339066,[5.97300000e-04 1.17520000e-04 1.66790000e-04 1.03080000e-04],308.68067049980164,[0.00058965 0.00011303 0.00017087 0.00011355],[9.38288779e+04 6.67967946e+01 1.45845148e+02 1.16410604e+03],[2984.74068848   61.08631004   55.22601732 2441.6047112 ],4,69207.568577528,"[0.00015212 0.00068734 0.00095332 0.00115243 0.00191651 0.00085024
 0.00239005 0.00010308 0.00028431 0.00011752 0.0005973  0.00044517
 0.00032614 0.00020862 0.00038739 0.00016679 0.00049293 0.00131922
 0.00153981 0.00164536 0.00176439 0.00143673]",22,4,4
5,8,22.943324268998914,[1.60480000e-04 1.77590000e-04],147.61960220336914,[0.00012295 0.00021165],[ 93.76119208 112.42498312],[ 69.68242632 501.69149642],2,2337.546924352646,[0.00016048 0.00017759 0.00033806],3,2,2
5,9,11.114048585004404,[3.88098000e-03],40.78093576431274,[0.00381734],[1107.61325645],[3653.57458531],1,406.9836766719818,[0.00388098],1,1,1
5,10,21.786340502708267,[2.02730000e-04 2.10860000e-03],129.58042788505554,[0.00013353 0.00204875],[322.80767425   4.49104152],[234.99663874 495.50837466],2,4675.340685129166,[0.00020273 0.0021086  0.00190587],3,2,2
5,11,11.48775004085589,[3.13932000e-03],45.17112326622009,[0.00313054],[51.50756683],[228.20777177],1,1031.234220743179,[0.00313932],1,1,1
5,12,22.81597198919926,[2.09906000e-03 7.82894000e-03 3.24210000e-04],359.79784321784973,[0.00206679 0.00586049 0.00034168],[5.94941058e+00 4.39999997e+02 6.39613451e+03],[  117.73767495 99557.99936655 10198.87580015],3,8641.930878162384,"[0.00032421 0.00177485 0.00209906 0.00028673 0.00061094 0.00238579
 0.00782894]",7,3,3
5,13,16.550579980566642,[1.46840000e-04 2.94040000e-04],137.87823057174683,[0.0001691  0.00010506],[500.82126933  89.10055681],[188.12450381  83.17828038],2,3922.955223321914,[0.00029404 0.00014684 0.00301187],3,2,2
5,14,18.281876990753613,[1.88740000e-04 6.46730000e-04],130.12126684188843,[0.00013569 0.00057854],[118.22100788   2.31872247],[115.71301806  59.01998597],2,4181.831441164017,[0.00018874 0.00045798 0.00064673],3,2,2
5,15,17.169205059179767,[1.81980000e-04 3.28120000e-04 5.02200000e-04],364.2469437122345,[0.00019862 0.00029582 0.00056866],[2.40211694e+002 1.07719182e+003 1.27461724e+104],[ 328.19439022  417.20530734 1605.03090663],3,8423.178963184357,[0.00077331 0.00094739 0.00014614 0.00018198 0.00032812 0.0005022 ],6,3,3
5,16,19.267228539680826,[1.56600000e-04 1.10008000e-03],133.0919589996338,[0.00013539 0.00107896],[107.39227695 137.83128176],[   94.87990163 19833.84829899],2,4001.844491958618,[0.00095041 0.0001566  0.00030627 0.00110008 0.00125668],5,2,2
5,17,22.8423079292714,[2.07670000e-04 4.44700000e-03],128.69580268859863,[0.00431443 0.00012882],[127.74999991 673.86722379],[24871.74998299   655.82888477],2,3796.8917667865753,[0.00020767 0.004447  ],2,2,2
5,18,26.55789693651935,[1.34010000e-04 2.69200000e-04 8.07460000e-04],347.53761863708496,[0.00014666 0.00022801 0.00081838],[ 257.79048377 1291.31973805  298.73467356],[ 383.01811852  859.39094127 3048.82073442],3,15712.700234174728,"[0.00044764 0.00080746 0.00058165 0.00013401 0.0002692  0.00152431
 0.00138911 0.0012551  0.00071684]",9,3,3
5,19,16.873696236527415,[1.33350000e-04 1.27422000e-03 1.09590000e-04],354.1545820236206,[0.00012981 0.00131344 0.00010777],[  456.54900023 19574.34634447    82.5760695 ],[447.97577056 271.89121934  82.59186414],3,10287.96524643898,"[0.00021738 0.0001229  0.00010959 0.00044987 0.00024294 0.00013335
 0.00034028 0.00036584 0.00058322 0.00086762 0.00100098 0.00127422
 0.00093394 0.00138381 0.00151716 0.00115132]",16,3,3
5,20,14.86658487753014,[4.47536000e-03],40.699061155319214,[0.00353889],[5.39753724],[125.91853058],1,389.63584184646606,[0.00447536],1,1,1
5,21,9.8992777388037,[1.44010000e-04 7.44790000e-04 1.53910000e-04],372.6003506183624,[0.00010111 0.00076951 0.00010554],[  75.02424311 1646.02577233  815.8052723 ],[ 64.37123259  25.22319199 776.68014468],3,17843.44051361084,"[0.00014401 0.00015391 0.00029792 0.00060078 0.00074479 0.00049027
 0.00019236 0.00034627 0.00109105 0.0008987 ]",10,3,3
5,22,18.217485848120543,[4.38470000e-04 2.23690000e-04],135.02544474601746,[0.00012078 0.00017875],[ 72.3994793  254.26871841],[ 74.85948586 326.91539331],2,2382.973267555237,[0.00043847 0.00022369],2,2,2
5,23,12.802245023009116,[1.85040000e-04 2.02070000e-04],148.10494828224182,[0.00017104 0.00013136],[ 15.74977307 163.62945813],[ 22.2555524  168.27503339],2,4363.702311515808,[0.00018504 0.00020207 0.00038711],3,2,2
5,24,23.51712956289837,[1.63120000e-04 3.25120000e-04],139.90041494369507,[0.00010515 0.00016496],[ 59.52300639 182.23162938],[ 60.81465601 167.43882369],2,1725.6983110904694,[0.00016312 0.00032512],2,2,2
5,25,13.038225436288862,[5.94000000e-03],43.96358919143677,[0.00555546],[26.28662671],[416.3396815],1,1584.1899256706238,[0.00594],1,1,1
5,26,23.44509252493369,[3.60638000e-03 1.55300000e-04 1.97920000e-04],344.4455325603485,[0.00346734 0.00012119 0.00024129],[8293.          672.91061389   99.68426208],[ 37.07692308 716.6072269  372.57969991],3,12521.279836416245,"[0.00016656 0.00032186 0.0001553  0.00019792 0.00035322 0.00051978
 0.00328452 0.00360638]",8,3,3
5,27,10.50335016137284,[3.66061000e-03 2.65300000e-04],134.6775186061859,[0.00313458 0.00065943],[37895.83659759 37658.52898028],[8067.73074047 8031.50067749],2,859.6633400917053,[0.00366061 0.00392591 0.0002653 ],3,2,2
5,28,20.686164818669024,[2.41690000e-04 7.05920000e-04],140.25176644325256,[0.00012399 0.00079684],[  468.83574945 45602.59844676],[ 325.03640881 4143.92782574],2,3539.774536848068,[0.00024169 0.00070592 0.00094761],3,2,2
5,29,21.33324230747671,[1.78093000e-03 2.52770000e-04],130.37250065803528,[0.00190309 0.00015453],[3558.5638931  2828.32908018],[ 139.88372508 2317.13157171],2,1884.4386069774628,[0.00203369 0.00025277 0.00178093],3,2,2
5,30,13.699977471778077,[1.66090000e-04 3.37070000e-04],146.79888033866882,[0.00011091 0.00017447],[ 60.21118751 175.03806312],[ 55.21725    170.56112748],2,3503.6167821884155,[0.00016609 0.00033707],2,2,2
5,31,18.646842543779144,[1.20100000e-04 2.12640000e-04 2.51320000e-04],364.1186814308167,[0.00011325 0.00018735 0.00028225],[ 88.36830132 459.25440165  13.01042281],[ 86.47026478 268.01184118 176.55719612],3,11034.10180425644,"[0.00014183 0.0001201  0.00025132 0.00013122 0.00039315 0.00034386
 0.00021264 0.00046396 0.00060579]",9,3,3
5,32,6.611738655001615,[8.60130000e-04 2.67797000e-03 3.46864000e-03],305.62426948547363,[0.00013712 0.00197724 0.00337093],[   8.51949371   13.95299276 3138.8246727 ],[1.44250746e+01 1.07923680e+01 2.16848651e+04],3,18690.09289598465,"[0.00528648 0.00267797 0.00696911 0.00086013 0.00346864 0.00632889
 0.00286025 0.00372038]",8,3,3
6,1,29.987919524526664,[2.82470000e-04 1.39170000e-04 1.08685000e-03],338.0662205219269,[0.00027702 0.00011369 0.00110964],[  323.15410473   314.27831106 49286.99256439],[808.50704725 265.45137736 711.99989811],3,8348.441543102264,"[0.00017658 0.00031988 0.00028247 0.00013917 0.00045904 0.00140672
 0.00094768 0.00108685]",8,3,3
6,2,17.855425658217335,[1.37953000e-03 1.67760000e-04],133.1524999141693,[0.00137111 0.00011587],[156.5454356 335.2829617],[8934.18146039  338.04729886],2,2375.373864173889,[0.0001865  0.00016776 0.00035426 0.00137953 0.00156603 0.00121177],6,2,2
6,3,13.657532218560709,[1.74140000e-04],48.26004910469055,[0.00013996],[75.3107135],[77.55133803],1,825.2851123809814,[0.00017414],1,1,1
6,4,23.690309303060857,[4.83443000e-03 1.27470000e-04 1.37550000e-04],358.722665309906,[0.00474691 0.00012421 0.00014   ],[ 143.5         109.51473441 1042.05880451],[49855.5          112.76124029  1544.87702893],3,17653.824185609818,"[0.00026965 0.00013755 0.00012747 0.00029949 0.00043704 0.00015908
 0.00040317 0.00024409 0.0008086  0.00068113 0.00056451 0.00095078
 0.00483443 0.00439739]",14,3,3
6,5,7.247502860457706,[1.23258000e-03 2.27464000e-03],125.76619243621826,[0.0016363  0.00191892],[1.46311409e+50 8.34721310e+58],[52679.10594833 52678.75350564],2,1099.6178951263428,[0.00123258 0.00227464 0.00350723],3,2,2
6,6,18.67005800513552,[4.39680000e-04 1.40900000e-04],141.12042951583862,[0.00035865 0.00014683],[31.36352643 85.76894123],[1430.99543235   83.10086641],2,4414.221467494965,[0.00028726 0.0001409  0.00072694 0.00058058 0.00043968],5,2,2
6,7,9.041106665142568,[2.96989000e-03 3.62410000e-04],124.46059799194336,[0.00292997 0.0003766 ],[78122.27719854 33516.25296506],[10936.93105988 62805.88859188],2,1652.699504852295,[0.00296989 0.00333229 0.00036241 0.00097696],4,2,2
6,8,14.142907012857028,[2.56120000e-04 2.88290000e-04],141.28802299499512,[0.00014699 0.00011851],[1296.51936306   77.44015083],[647.59954645  77.62335554],2,5062.129443645477,[0.00025612 0.00054441 0.00028829],3,2,2
6,9,16.711106263636356,[2.08780000e-04 1.52054000e-03 4.54410000e-04],340.25745129585266,[0.0001794  0.00162084 0.00033666],[6.73464188e+02 1.39663733e+00 1.46879320e+03],[ 636.8129893    53.67856706 1101.64014275],3,14830.081953287125,"[0.00020878 0.00024563 0.00045441 0.00172931 0.00197338 0.00069847
 0.0012749  0.00152054]",8,3,3
6,10,1.6542204016900306,[3.84240000e-03],47.967540979385376,[0.00275376],[1.3241599e+30],[12276.84721551],1,558.3497312068939,[0.0038424],1,1,1
6,11,23.79834472384627,[7.39990000e-03 2.61410000e-04],126.10610103607178,[0.00741081 0.00029219],[ 68.27997999 487.91137638],[14217.14859144   261.23938244],2,1636.4083080291748,[0.00026141 0.00020372 0.00046513 0.0073999 ],4,2,2
6,12,14.879343944517306,[4.42240000e-04 4.88250000e-04],144.58592677116394,[0.00012628 0.00054669],[647.13857397  92.06599451],[565.7131741 311.6876502],2,3861.566180229187,[0.00044224 0.00048825 0.00093049],3,2,2
6,13,27.890452792240406,[1.25040000e-04 1.43120000e-04 2.68160000e-04],375.0695104598999,[0.00010533 0.00018908 0.00026941],[ 84.34598443 497.18048813  50.36288408],[ 103.12887266  372.28154336 3773.64683016],3,9605.534262180328,[0.00012504 0.00014312 0.00026816 0.00041468 0.00470617],5,3,3
6,14,23.505982576381538,[3.14490000e-04 1.98220000e-04],141.53518056869507,[0.00035832 0.00014786],[67854.98661665   143.44918228],[8806.01285114  130.32144968],2,4296.872321605682,[0.00031449 0.00019822 0.00051271],3,2,2
6,15,23.269957518020554,[7.45450000e-04 1.67500000e-04 1.96300000e-04],335.57283306121826,[0.00071046 0.00010109 0.00019504],[118.16677791 419.3532142  443.58033044],[  19.09761332  514.79736596 1593.45629786],3,14977.280235528946,"[0.0001675  0.00057795 0.00074545 0.0001963  0.0003638  0.00094175
 0.00293976 0.00330356 0.00388151]",9,3,3
