row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm
25,25,10.626473229458206,[0.00024067],3.936791181564331,[0.00021593],[782.76601826],[64.92459815],1,5.428885459899902
25,26,9.39542241346151,[0.00030514 0.00043288 0.00073802],6.9543092250823975,[0.0001714  0.00025694],[ 27.65195408 116.51149409],[158.26311593  58.62025206],2,16.506493091583252
25,27,19.49167783677598,[0.0001557 0.0003128],3.214543581008911,[0.00015791 0.00010318],[ 85.43090024 138.783279  ],[ 31.58884662 130.11320399],2,29.773537397384644
25,28,9.02927550818879,[0.00020415 0.00015017 0.00035432],6.53744649887085,[0.00023443 0.00010674],[411.18321322  46.16619543],[50.2445245  40.22532029],2,11.553163528442383
25,29,7.532450252312795,[0.00021095],3.000126600265503,[0.00013639],[80.46424065],[34.26249046],1,6.753997564315796
25,30,6.729073962203413,[0.00031651 0.00014245 0.00017407],6.1474387645721436,[0.00018266 0.00010785],[111.71624051  37.12755859],[848.88514313  47.8638063 ],2,30.623161792755127
25,31,12.871842372770805,"[0.00068051 0.00034829 0.00050661 0.00026708 0.00077369 0.00083883
 0.00110591 0.0014542  0.00118712]",10.671213150024414,[0.00060384 0.00030583 0.00020554],[282.74571499 283.70857926 135.22499578],[1.56885136e+31 5.22313024e+07 1.35325408e+02],3,78.96337127685547
25,32,10.606560935371498,[0.00015605 0.00031034],6.292271375656128,[0.00014502 0.00010775],[255.20834124  75.02358526],[ 46.27364028 258.44988252],2,21.27958583831787
26,1,12.824851947105579,[0.00016281],2.612706184387207,[0.00014562],[134.58019831],[38.51180435],1,4.593733310699463
26,2,9.552629056114567,[0.00018986],2.1871275901794434,[0.00015384],[94.76097516],[65.82782064],1,3.155636787414551
26,3,25.20090913185743,[0.00351151],1.4276072978973389,[0.00351248],[1.],[248.49705658],1,13.725949764251709
26,4,11.569987148167908,[0.00016002 0.00019147 0.00035149],3.2120962142944336,[0.0002021  0.00011682],[334.02698107  51.2232766 ],[602.22247814  28.29351169],2,10.151118755340576
26,5,11.514685506881907,[0.00014103 0.00011212 0.00025315 0.00026991 0.00015779],7.68381667137146,[0.00021169 0.00015491],[359.61135663  56.72901182],[ 94.01177845 135.407331  ],2,32.66803765296936
26,6,8.631655944730896,"[0.00017058 0.00010747 0.00045012 0.00027806 0.00055759 0.00011901
 0.00022648 0.00039706]",11.215022087097168,[0.00011918 0.0001217  0.00013354],[8.75217854e+01 2.56682249e+02 2.40006189e+16],[ 85.15412223  69.57654135 314.92936267],3,137.27816820144653
26,7,10.029479711488094,[0.00016353],1.8749678134918213,[0.00012209],[49.19270857],[50.48439238],1,3.5295724868774414
26,8,10.392344324545267,[0.00018031],2.107020854949951,[0.0001491],[57.74767329],[41.05647055],1,1.715609073638916
26,9,7.9088516898712005,[0.00019376],3.7371163368225098,[0.00017187],[323.65180323],[61.18641941],1,7.966835021972656
26,10,5.9014069769943465,[0.00021217 0.00377704],9.04190444946289,[0.00050087 0.00366246],[ 5.4734823  19.33740063],[920.78694232  62.34796735],2,14.032875537872314
26,11,0.8045803563469728,[0.00593778 0.00115323],6.849998950958252,[0.00372571 0.00206172],[28101091.14148198  4368946.01171239],[391.73554172 388.0887198 ],2,16.20438861846924
26,12,17.564598827372947,[0.00329949],2.634124994277954,[0.00329955],[7.99999681],[490.99942798],1,4.292374610900879
26,13,20.220246679973265,[0.00050686 0.00320664],6.270284414291382,[0.00032434 0.00019678],[285.27210817 341.05981001],[256.96096419 186.18383329],2,22.404818534851074
26,14,12.457223408737805,[0.00013796 0.00030112 0.00016316],2.8787271976470947,[0.00025521 0.00010441],[28.36720007 92.65254165],[441.63891901  39.86292434],2,25.665361881256104
26,15,8.157215040249248,"[2.2072748e-03 5.7678084e-05 6.4869753e-05 1.1182361e-04 1.0056798e-04
 5.4145527e-05 7.6670927e-04 1.2397672e-04 2.2790828e-04 3.1012931e-04
 1.6787872e-04 1.5031970e-04 1.3305740e-04 9.1859823e-05 4.3410601e-04
 2.0559302e-04 2.5703412e-04 4.8276427e-04 7.2047417e-04 3.7785206e-04
 1.8316790e-04 5.7291216e-04 6.3778192e-04 7.9507171e-04 9.4539142e-04
 8.5353159e-04 2.8392716e-04 1.0841258e-03]",24.809143781661987,[0.00048944 0.00011935 0.0017414  0.00028015],[4.97865161e+001 1.75693494e+002 2.88920073e+102 3.92419550e+001],[  3.65818345  86.49815973   4.99999992 810.20315728],4,421.0434582233429
26,16,14.209658276444312,[0.00015192 0.00030935],6.346750259399414,[0.00012598 0.00016729],[ 38.13675232 579.40464264],[ 75.63749928 191.85606012],2,16.192697048187256
26,17,19.255656878220403,[0.00021259 0.00828954],5.600133895874023,[0.0001488 0.0001293],[9.11037226 9.88444997],[11.28914667 10.16668701],2,10.447855710983276
26,18,21.69991101079991,[0.00025217 0.00488781],5.705982685089111,[0.00494014 0.00016863],[  2.         440.53463058],[330.66666667 392.0037192 ],2,13.701745748519897
26,19,4.355761200942304,[0.00059494 0.00034888 0.00094382],3.2734758853912354,[0.00016942 0.00016374],[15.08339897 14.91250401],[11.4360601 12.2553724],2,22.64977502822876
26,20,19.755912249477728,[0.00020749 0.00017833 0.00038582 0.0036427 ],4.29981803894043,[0.00020132 0.00355597],[8.89020756e+04 5.00000000e+00],[193.14423406 494.        ],2,23.314730405807495
26,21,8.125076820667774,[0.0001971],1.9307365417480469,[0.00014118],[63.23207809],[41.69488753],1,11.920563220977783
26,22,13.984851323706952,[0.00017449],2.7776200771331787,[0.0001112],[72.0986936],[50.03517469],1,7.827081203460693
26,23,11.620078703491068,[0.00017507],2.6886184215545654,[0.00014324],[32.72036542],[35.89584369],1,4.4608001708984375
26,24,8.601838008761227,[0.00019594 0.00035477 0.00015883],4.286207675933838,[0.00011472 0.00015107],[95.46900716 11.03889244],[18.94539805 32.82874376],2,26.55672287940979
26,25,13.397956089069137,[0.00019437],1.8615260124206543,[0.00013551],[43.0921791],[56.33656235],1,3.278773784637451
26,26,3.3400898845119977,[0.00023182 0.00254561],5.429692983627319,[0.00164678 0.0007966 ],[1.97288789e+14 7.05146685e+05],[540.97574347 540.18536018],2,8.396356582641602
26,27,9.77188482780899,[0.00017056],2.439746618270874,[0.00012659],[44.66536238],[37.60035317],1,3.9977879524230957
26,28,3.877076784254802,[0.00368479],2.1098098754882812,[0.00296316],[4354688.40851965],[645.84828079],1,3.891631841659546
26,29,9.512615123547686,[0.00017815],2.304640293121338,[0.00014401],[78.05254811],[45.10962677],1,3.1355738639831543
26,30,20.73292946467848,[0.00018684 0.00020607 0.00039291],3.481604814529419,[0.00013613 0.00026146],[1.48984137e+11 8.58737245e+01],[207.9551586  238.47084285],2,15.261521816253662
26,31,9.833340138058752,[0.00036094 0.00018475],5.265407562255859,[0.00015873 0.00012939],[146.35879941  22.71998877],[78.15196902 30.37961542],2,8.84907841682434
26,32,20.527039596474047,[0.00021521],2.998203754425049,[0.0001585],[43.05344889],[21.93263225],1,4.898005247116089
27,1,8.436200136719776,[0.00026277 0.00053982],2.9202044010162354,[0.00018138 0.00013608],[1.30576607e+22 1.94198547e+01],[113.5427294   26.26143148],2,26.89665937423706
27,2,4.109012952767975,[0.00122445],2.125903606414795,[0.00111899],[4193248.40856209],[506.0159115],1,3.832226514816284
27,3,18.63931569897312,[0.00071022],2.4186949729919434,[0.00069891],[5.27059944],[83.79790544],1,6.195267915725708
27,4,12.262251798592951,[0.00039231],2.2991085052490234,[0.00012114],[42.22828213],[27.58035318],1,3.7373931407928467
27,5,11.464721099901967,[0.00016198],2.0952701568603516,[0.0001038],[55.0111456],[32.75445862],1,3.7794463634490967
27,6,17.2595576006235,[0.00016433],2.97871470451355,[0.00012028],[47.82307796],[40.74035676],1,6.442580223083496
27,7,10.601516827363218,[0.00018011],2.75303316116333,[0.00017124],[135216.19177226],[830.68047175],1,4.125372409820557
27,8,16.982255151227438,[0.00294346 0.00195549 0.00098797 0.00897804],5.82517671585083,[0.00265521 0.00022188],[571.96649322  12.6129341 ],[211.87889258  19.65314038],2,22.02699565887451
