row,col,snr_db,kmeans_shift,time_kmeans,fhmm_shift,fhmm_taue,fhmm_tauc,fhmm_ndef,time_fhmm,kmeans_shift_original,kmeans_n_original,fhmm_n,kmeans_n_matched
13,21,24.33733169390194,[2.04390000e-04 2.39212000e-03],6.761881113052368,[0.00012103 0.00021253],[2.12658509e+02 2.75355824e+45],[156.7777504   65.35990501],2,27.11752867698669,[0.00020439 0.00239212],2,2,2
13,22,2.0762927263926363,[1.94635000e-03],4.146327495574951,[0.00194561],[131.96433479],[9.24954485],1,8.494761228561401,[0.00194635],1,1,1
13,23,11.582390755030811,[1.43010000e-04 1.79580000e-04],6.895341634750366,[0.00012282 0.00016364],[ 53.89976649 131.36348177],[79.78268423 71.08045198],2,26.89493989944458,[0.00014301 0.00032259 0.00017958],3,2,2
13,24,9.81330315167338,[1.56700000e-04],3.190577745437622,[0.0001282],[72.21591629],[40.40642245],1,3.619681835174561,[0.0001567],1,1,1
13,25,24.592264097104557,[7.35002000e-03],4.6395885944366455,[0.00018561],[46.48559866],[107.17742419],1,5.957745552062988,[0.00735002],1,1,1
13,26,0.7481944692673054,[3.35912000e-03 3.79450000e-04],9.345062255859377,[0.00189977 0.00151996],[8.12047203e+13 1.50113107e+06],[224.16351902 224.19720037],2,7.563967943191528,[0.00335912 0.00037945],2,2,2
13,27,12.055231665012856,[1.49390000e-04],2.73159408569336,[0.00013269],[70.75414869],[16.96341556],1,8.043111801147461,[0.00014939],1,1,1
13,28,16.551733981817943,[7.27777660e-04 3.00350720e-04 3.84788030e-04 4.91962540e-04 3.53095990e-04],63.01678895950317,[0.00076991 0.00030035 0.00038627 0.00047655 0.00038653],[12.94161485 13.46147595 11.35142179 13.77400289 56.29123163],[17.94842857  9.8998926  10.04457953 11.39620408  4.57548901],5,2357.981105566025,"[5.8728347e-05 1.6045077e-03 7.2963914e-05 1.3274329e-03 8.9290123e-05
 8.3022591e-05 4.2852345e-03 7.2252485e-03 2.7595862e-04 1.6890872e-04
 8.4110966e-04 1.1538729e-04 1.3322725e-04 1.4774005e-04 3.5309599e-04
 1.1254057e-03 6.0480493e-03 4.5632166e-04 7.2777766e-04 4.9196254e-04
 3.0035072e-04 3.2605967e-04 9.5622701e-04 9.5643190e-05 3.8478803e-04
 4.7432878e-03 5.6483489e-03 5.8456504e-04 2.1486721e-04 2.5334605e-04
 1.8232704e-04 6.6090835e-04 5.2455761e-03]",33,5,5
13,30,9.720613332613322,[1.64690000e-04],3.750262498855591,[0.0001329],[44.0344208],[34.5172936],1,4.556405782699585,[0.00016469],1,1,1
13,31,10.504744805377788,[1.57230000e-04 1.67420000e-04],9.996828317642212,[0.00014709 0.00010239],[3.44693221e+24 1.30204127e+02],[291.78239012 128.91136733],2,32.89831185340881,[0.00032465 0.00016742 0.00015723],3,2,2
13,32,7.243054594069047,[2.67360000e-04],2.681835651397705,[0.00024448],[1293.58442226],[268.55490896],1,8.836796522140503,[0.00026736],1,1,1
14,1,6.898809558356659,[6.11740000e-04 9.41070000e-04],7.995235443115234,[0.00066265 0.00095238],[680.20820535  34.22792572],[300.26242758 152.43344546],2,8.885554313659668,[0.00061174 0.00094107 0.00155281],3,2,2
14,2,8.607032843380608,[1.46080000e-04 1.36780000e-04],4.846556901931763,[0.00016707 0.00012486],[3.62055608e+12 1.35884426e+02],[498.31061201  51.56238884],2,18.517822980880737,[0.00014608 0.00013678 0.00028286],3,2,2
14,3,11.710962679299511,[1.58610000e-04 1.97850000e-04],8.624324321746826,[0.00010368 0.00011004],[72.64131048 38.8664414 ],[53.20604105 49.86562929],2,42.61641788482666,[0.00015861 0.00035646 0.00019785],3,2,2
14,4,7.711736270870418,[2.48570000e-04],2.3971056938171387,[0.00021119],[112.51376878],[58.5262371],1,6.351096153259277,[0.00024857],1,1,1
14,5,14.29070847717708,[2.75990000e-04],2.293710708618164,[0.00017599],[47.61264589],[43.58916648],1,5.628594875335693,[0.00027599],1,1,1
14,6,13.473214188904478,[1.72730000e-04],2.9562461376190186,[0.00013177],[50.65946446],[27.18967542],1,6.895106315612793,[0.00017273],1,1,1
14,7,10.108676577700184,[1.62600000e-04],2.6237127780914307,[0.00011375],[43.77421009],[39.62694226],1,6.646376609802246,[0.0001626],1,1,1
14,8,22.25037601196857,[3.34190000e-04 4.33616000e-03],4.493089199066162,[0.00012441 0.00448346],[157.41499925   1.        ],[219.27203564 165.49498419],2,17.39693856239319,[0.00033419 0.00433616 0.00467034],3,2,2
14,9,4.107221209716183,[1.76015000e-03 1.95557000e-03],4.4300172328948975,[0.00092363 0.00092522],[62.22959229 59.32724354],[57.31252408 54.84961193],2,17.86887288093567,[0.00176015 0.00019542 0.00195557],3,2,2
14,10,9.86658838814557,[1.58190000e-04],2.891173839569092,[0.00011752],[46.75571207],[41.16402851],1,7.165195226669312,[0.00015819],1,1,1
14,11,14.08689980300008,[1.82950000e-04],4.153096675872803,[0.00013323],[32.64727571],[32.19622339],1,6.05623459815979,[0.00018295],1,1,1
14,12,7.402213539073293,[3.34250000e-04 5.86380000e-04],9.679845571517944,[0.00040886 0.00050438],[17.59289821 19.22102768],[19.08136289 19.61336177],2,26.15615153312683,[0.00033425 0.00058638 0.00125322 0.00092063],4,2,2
14,13,7.0020516553522025,[4.09010000e-04 1.55430000e-04 7.76730000e-04],12.906847476959229,[0.00042136 0.00015542 0.00076723],[ 83.72755519 401.34723462 119.05128778],[3.37214746e+24 6.50107372e+01 1.36753903e+01],3,92.48885297775269,"[0.00023735 0.00014343 0.00038078 0.00050666 0.00090261 0.00012771
 0.00025359 0.00063436 0.00028314 0.00055244 0.00015543 0.00040901
 0.00103032 0.00077673 0.00118574]",15,3,3
14,14,13.413078719986908,[3.26070000e-04 1.58590000e-04],7.947797775268555,[0.00017596 0.00013573],[1547.91826782   54.53325494],[112.41516009  76.13708809],2,14.694024801254272,[0.00032607 0.00015859],2,2,2
14,15,8.391320210871303,[1.87280000e-04],4.925024509429932,[0.00019716],[5.41615841e+27],[129.2276805],1,8.264293909072876,[0.00018728],1,1,1
14,16,10.601234404782565,[1.72950000e-04 1.53460000e-04],6.787314414978027,[0.00017875 0.00010856],[5.48743503e+05 2.43438497e+01],[134.22365896  48.24886274],2,16.749918699264526,[0.00017295 0.00015346 0.00032641],3,2,2
14,17,9.352114979483112,[2.65810000e-04 2.28320000e-04],8.420374155044556,[0.00028309 0.00015931],[ 111.98013926 1362.67470496],[393.0191521  107.18079903],2,12.97504496574402,[0.00022832 0.00049413 0.00026581],3,2,2
14,18,8.589615546198994,[1.37690000e-04 1.67880000e-04],5.240299224853516,[0.00010965 0.00018594],[ 48.03817011 669.89332861],[ 44.71104121 130.85213465],2,30.2973849773407,[0.00016788 0.00030558 0.00013769],3,2,2
14,19,10.324369250203905,[3.28610000e-04],3.745757579803467,[0.00013792],[253.10896603],[90.40895213],1,12.546192169189451,[0.00032861],1,1,1
14,20,8.0233515065983,[1.87260000e-04],3.8517212867736816,[0.00015088],[206.59745027],[51.43630974],1,2.8268673419952397,[0.00018726],1,1,1
14,21,8.277825408959545,[9.67623420e-05 1.14085050e-04 2.69419400e-04],13.455785274505615,[0.0001036  0.0001112  0.00024534],[ 63.42146033  34.23432318 797.23112015],[74.9889513  47.36370675 53.6728539 ],3,54.55391430854797,"[1.5533435e-04 1.1408505e-04 9.6762342e-05 1.9524885e-04 1.2161215e-04
 2.6941940e-04 2.1837449e-04 3.1686100e-04 3.6790592e-04]",9,3,3
14,22,15.313469631337837,[1.24036450e-04 8.89039250e-04 1.87322160e-04],13.520831823349,[0.00011529 0.00089638 0.00016417],[8.25025638e+01 8.99985727e+00 2.11372084e+22],[234.64235433 323.65968286 117.30366071],3,73.71119594573975,"[1.8732216e-04 9.5819472e-05 9.8054192e-04 2.1985592e-04 3.1135863e-04
 8.8903925e-04 1.1005546e-03 1.2403645e-04 7.9321978e-04]",9,3,3
14,23,15.328675507774816,[1.92150000e-04 1.12621000e-03],5.974419593811035,[0.00012021 0.00035612],[15.87853973  1.2364955 ],[42.81798735 21.8698521 ],2,36.34452819824219,[0.00019215 0.00131836 0.00112621],3,2,2
14,24,12.277862758017532,[3.57440000e-04 3.03140000e-04 1.05400000e-04 2.70480000e-04],28.950319290161133,[0.00034872 0.00038668 0.00010906 0.00027455],[  5.56305411 121.00868924  14.46411736  32.58965405],[82.38461914 13.242661   13.79273927 76.32928735],4,459.4237914085388,"[0.00012016 0.00014075 0.0001054  0.00013188 0.00092384 0.00022557
 0.00062792 0.00086066 0.00162933 0.00076867 0.00049819 0.00027048
 0.00030314 0.00112157 0.00069827 0.00105571 0.00122698 0.00135885
 0.00056884 0.00035744]",20,4,4
14,25,8.72383718881223,[1.17630000e-04 1.41940000e-04],6.679701566696167,[0.00010118 0.00012264],[105.36369436 660.92654175],[ 76.86913888 196.0498088 ],2,9.77684760093689,[0.00014194 0.00011763 0.00025957],3,2,2
14,26,10.572483189686109,[1.51550000e-04],2.5294013023376465,[0.00012719],[118.31526122],[38.21934311],1,7.231666564941406,[0.00015155],1,1,1
14,27,7.797534954029485,[2.02660000e-04 2.24880000e-04],3.925363779067993,[0.00014331 0.00018482],[230.08513977 218.53198129],[614.43258599  78.84671931],2,27.26944184303284,[0.00022488 0.00042754 0.00020266],3,2,2
14,28,8.900233607983424,[1.85260000e-04 1.98860000e-04],7.128879070281982,[0.00015914 0.00020509],[8.33594800e+06 4.44741669e+11],[773.41676812 239.68181584],2,20.68283581733704,[0.00019886 0.00018526 0.00038411],3,2,2
